,ReviewID,Target
700,CD003234,We found no evidence of benefit when synthetic membranes were compared with cellulose/modified cellulose membranes in terms of reduced mortality no reduction in dialysis-related adverse symptoms. Despite the relatively large number of RCTs undertaken in this area none of the included studies reported any measures of quality of life.
701,CD005229,"The included studies were too small to determine to what extent strengthening exercises for people with ALS are beneficial, or whether exercise is harmful. There is a complete lack of randomised or quasi-randomised clinical trials examining aerobic exercise in this population. More research is needed."
702,MR000021,The impact of factors varied across studies. Researchers need to be aware that aspects of the design and conduct of trials can affect clinicians' willingness to invite patients to participate. Further research is needed.
703,CD008394,"There is evidence that a topical intervention (RGD peptide matrix) reduced ulcer size in treated participants compared to controls. This evidence of efficacy is limited by the generally high risk of bias associated with these reports.
We planned to analyse results according to general groups: pharmaceutical interventions (systemic and topical); and non-pharmaceutical interventions (surgical and non-surgical). However, we were unable to pool findings due to the heterogeneity in outcome definitions, and inconsistency between the unit of randomisation and the unit of analysis. This heterogeneity, along with a paucity of identified trials, prevented us performing any meta-analyses.
This Cochrane review provides some evidence for the effectiveness of one topical intervention - RGD peptide matrix. However, this intervention was assessed as having a high risk of bias due to inadequacies in the single trial report. Other included studies were also assessed as having a high risk of bias. We recommend that readers interpret the trial results with caution. The safety profile of the all interventions was inconclusive."
704,CD000532,"This review provides some evidence that MHWs working in primary care to deliver psychological therapy and psychosocial interventions cause a significant reduction in PCP behaviours such as consultations, prescribing, and referrals to specialist care. However, the changes are modest in magnitude, inconsistent, do not generalise to the wider patient population, and their clinical or economic significance is unclear."
705,CD007179,"Doxycycline (six weeks) plus streptomycin (two or three weeks) regimen is more effective regimen than doxycycline plus rifampicin (six weeks) regimen. Since it needs daily intramuscular (IM) injection, access to care and cost are important factors in deciding between two choices. Quinolone plus rifampicin (six weeks) regimen is slightly better tolerated than doxycycline plus rifampicin, and low quality evidence did not show any difference in overall effectiveness."
706,CD004351,"For women with pre-eclampsia, postnatal furosemide may decrease the need for postnatal antihypertensive therapy in hospital, but more data are needed on substantive outcomes before this practice can be recommended. There are no reliable data to guide management of women who are hypertensive postpartum. Any antihypertensive agent used should be based on a clinician's familiarity with the drug. Future studies should include data on postpartum analgesics, severe maternal hypertension, breastfeeding, hospital length of stay, and maternal satisfaction with care."
707,CD004404,"Although antibiotics were effective in eliminating B. pertussis, they did not alter the subsequent clinical course of the illness. There is insufficient evidence to determine the benefits of prophylactic treatment of pertussis contacts."
708,CD000011,"For short-term treatments several quite simple interventions increased adherence and improved patient outcomes, but the effects were inconsistent from study to study with less than half of studies showing benefits. Current methods of improving adherence for chronic health problems are mostly complex and not very effective, so that the full benefits of treatment cannot be realized. High priority should be given to fundamental and applied research concerning innovations to assist patients to follow medication prescriptions for long-term medical disorders."
709,CD004134,"Overall there remains insufficient evidence to conclude that any intervention may increase or decrease trust in doctors. Further trials are required to explore the impact of policy changes, guidelines and specific doctors' training on patients' trust."
710,CD006321,"The results suggest a positive effect of human growth hormone on weight gain and energy absorption. However, in the majority of trials, the effects are short-lived returning to baseline shortly after cessation of therapy. The temporary benefit calls into question the clinical utility of this treatment.  To date, the evidence is inconclusive to recommend this therapy.  Consideration should be made to studying patients during the active phase of intestinal adaptation rather than in the setting of chronic intestinal failure.  The role of HGH in paediatric short bowel syndrome remains unknown."
711,CD008768,"There is insufficient evidence to guide the treatment of persistent or intractable hiccups with either pharmacological or non-pharmacological interventions. 
The paucity of high quality studies indicate a need for randomised placebo-controlled trials of both pharmacological and non-pharmacological treatments. As the symptom is relatively rare, trials would need to be multi-centred and possibly multi-national."
712,CD007787,"Albendazole may be of similar effectiveness to metronidazole, may have fewer side effects, and has the advantage of a simplified regimen. Large, high quality trials, assessing clinical outcomes (such as diarrhoea) will help assess further alternatives."
713,CD001861,"Well-designed, masked, randomised controlled trials using standardised methods are needed to establish the benefits of new and existing prophylactic and treatment regimes for recurrent corneal erosion. International consensus is also needed to progress research efforts towards evaluation of the major effective treatments for recurrent corneal erosions."
714,CD001823,"There is moderate evidence that lumbar supports are not more effective than no intervention or training in preventing low-back pain, and conflicting evidence whether they are effective supplements to other preventive interventions. It remains unclear whether lumbar supports are more effective than no or other interventions for treating low-back pain.
There is still a need for high quality randomised trials on the effectiveness of lumbar supports. One of the most essential issues to tackle in these future trials seems to be the realization of an adequate compliance. Special attention should be paid to different outcome measures, types of patients and types of lumbar support."
715,CD002187,Sufficient evidence exists that PDE-5 inhibitors form a care that improves erectile dysfunction in diabetic men.
716,CD006126,"The use of either C3F8 or silicone oil appears reasonable for most patients with RD associated with PVR. Because there do not appear to be any major differences in outcomes between the two agents, the choice of a tamponade agent should be individualized for each patient."
717,CD009095,"Robust conclusions could not be drawn from the evidence due to variability in design, interventions, outcomes and results. The interventions implemented in the studies in this review led to the identification and resolution of medication-related problems, however evidence of an effect on resident-related outcomes was not found. There is a need for high-quality cluster-randomised controlled trials testing clinical decision support systems and multidisciplinary interventions that measure well-defined, important resident-related outcomes."
718,CD003990,"The four included randomised controlled trials in this systematic review provided insufficient evidence to assess whether progestogen-only and combined contraceptives differ from non-hormonal contraceptives in diabetes control, lipid metabolism and complications. Three of the four studies were of limited methodological quality, sponsored by pharmaceutical companies and described surrogate outcomes. Ideally, an adequately reported, high-quality randomised controlled trial analysing both intermediate outcomes (that is glucose and lipid metabolism) and true clinical endpoints (micro- and macrovascular disease) in users of combined, progestogen-only and non-hormonal contraceptives should be conducted. However, due to the low incidence of micro- and macrovascular disease and accordingly the large sample size and long follow-up period needed to observe differences in risk, a randomised controlled trial might not be the ideal design."
719,CD004903,There is insufficient evidence to assess whether pneumococcal vaccination during pregnancy could reduce infant infections.
720,CD006395,There is insufficient evidence to support or refute the use of prophylactic oral betamimetics for preventing preterm birth in women at high risk of preterm labour with a singleton pregnancy.
721,CD003819,"Despite most of the included studies being of low quality, the results suggest that iodine supplementation, especially iodised oil, is an effective means of decreasing goitre rates and improving iodine status in children. Indications of positive effects on physical and mental development and mortality were seen, although results were not always significant. Adverse effects were generally minor and transient. Insufficient evidence was available on non-oil supplements. High quality controlled studies investigating relevant long term outcome measures are needed to address the question of the best form of iodine supplementation in different population groups and settings."
722,CD001116,"This review demonstrated that physical training can improve cardiopulmonary fitness and was well tolerated among people with asthma in the included studies. As such, people with stable asthma should be encouraged to partake in regular exercise training, without fear of symptom exacerbation."
723,CD003545,"Although there are shortcomings and gaps in the data, there appears to be enough consistency over different outcomes and periods to confirm that trifluoperazine is an antipsychotic of similar efficacy to other commonly used neuroleptics for people with schizophrenia. Its adverse events profile is similar to that of other drugs. It has been claimed that trifluoperazine is effective at low doses for patients with schizophrenia but this does not appear to be based on good quality trial based evidence."
724,CD001218,"In the previous version of this review, evidence in support of acupuncture for migraine prophylaxis was considered promising but insufficient. Now, with 12 additional trials, there is consistent evidence that acupuncture provides additional benefit to treatment of acute migraine attacks only or to routine care. There is no evidence for an effect of 'true' acupuncture over sham interventions, though this is difficult to interpret, as exact point location could be of limited importance. Available studies suggest that acupuncture is at least as effective as, or possibly more effective than, prophylactic drug treatment, and has fewer adverse effects. Acupuncture should be considered a treatment option for patients willing to undergo this treatment."
725,CD005379,"Direct evidence on the effect of omega-3 PUFA on incident dementia is lacking. The available trials showed no benefit of omega-3 PUFA supplementation on cognitive function in cognitively healthy older people. Omega-3 PUFA supplementation is generally well tolerated with the most commonly reported side-effect being mild gastrointestinal problems.
Further studies of longer duration are required. Longer-term studies may identify greater change in cognitive function in study participants which may enhance the ability to detect the possible effects of omega-3 PUFA supplementation in preventing cognitive decline in older people."
726,CD002881,Acetazolamide can produce a small increase in arterial PO2 and fall in PCO2. These conclusions are drawn from a few small short studies that were not all of high quality. It is not known whether this physiological improvement is associated with clinical benefit.
727,CD006369,"In short-term studies, oral paliperidone is an antipsychotic drug that is more efficacious than placebo. We found its adverse effects to be similar to those of its parent compound, risperidone, with movement disorders, weight gain and tachycardia all more common with paliperidone than placebo. While no difference was found in the incidence of reported adverse sexual outcomes, paliperidone is associated with substantial increases in serum prolactin. When used at doses of 6 mg per day or higher, oral paliperidone appears comparable in efficacy to olanzapine 10 mg/day. A single study of six days duration found neither an advantage nor disadvantage of paliperidone compared to risperidone. When dosed flexibly with other psychotropics available, it appears to be comparable in efficacy to flexible doses of quetiapine with other psychotropics available."
728,CD001271,"The findings suggest that appropriately trained nurses can produce as high quality care as primary care doctors and achieve as good health outcomes for patients. However, this conclusion should be viewed with caution given that only one study was powered to assess equivalence of care, many studies had methodological limitations, and patient follow-up was generally 12 months or less. 
While doctor-nurse substitution has the potential to reduce doctors' workload and direct healthcare costs, achieving such reductions depends on the particular context of care. Doctors' workload may remain unchanged either because nurses are deployed to meet previously unmet patient need or because nurses generate demand for care where previously there was none. Savings in cost depend on the magnitude of the salary differential between doctors and nurses, and may be offset by the lower productivity of nurses compared to doctors."
729,CD007320,Joint lavage does not result in a relevant benefit for patients with knee osteoarthritis in terms of pain relief or improvement of function.
730,CD003998,"The value of steroids in the treatment of idiopathic sudden sensorineural hearing loss remains unclear since the evidence obtained from randomised controlled trials is contradictory in outcome, in part because the studies are based upon too small a number of patients."
731,CD002806,This updated of the review (D'Angelo 2002) has showed that there is insufficient evidence to support routine cryopreservation and insufficient evidence for the relative merits of intra-venous albumin versus cryopreservation.
732,CD006804,"Miniport laparoscopic cholecystectomy can be completed successfully in more than 85% of patients. Patients, in whom elective miniport laparoscopic cholecystectomy was completed successfully, had lower pain than those who underwent standard laparoscopic cholecystectomy. However, because of the lack of information on its safety, miniport laparoscopic cholecystectomy cannot be recommended outside well-designed, randomised clinical trials."
733,CD005471,There are a limited number of rigorous evaluations to base policy on. Active local educational interventions involving secondary care specialists and structured referral sheets are the only interventions shown to impact on referral rates based on current evidence. The effects of 'in-house' second opinion and other intermediate primary care based alternatives to outpatient referral appear promising.
734,CD000230,"The evidence for a 14% relative reduction in preterm birth for zinc compared with placebo was primarily represented by trials involving women of low income and this has some relevance in areas of high perinatal mortality. There was no convincing evidence that zinc supplementation during pregnancy results in other useful and important benefits. Since the preterm association could well reflect poor nutrition, studies to address ways of improving the overall nutritional status of populations in impoverished areas, rather than focusing on micronutrient and or zinc supplementation in isolation, should be an urgent priority."
735,CD003571,There is currently insufficient evidence to support the use of helium-oxygen mixtures to treat acute exacerbations of COPD in either ventilated or non-ventilated patients. Suitably designed randomised controlled trials with the endpoint being the avoidance of mechanical ventilation may be justified.
736,CD003022,"Fluoxetine, amlodipine, imipramine and desipramine have very limited benefits for amphetamine dependence and abuse. Fluoxetine may decrease craving in short-term treatment. Imipramine may increase duration of adherence to treatment in medium-term treatment. Apart from these, no other benefits can be found. This limited evidence suggests that no treatment has been demonstrated to be effective for the treatment of amphetamine dependence and abuse.
Although there is a large number of people with amphetamine dependence and abuse worldwide, very few controlled trials in this issue have been conducted. As the previous treatment trials show no promising result, other treatments, both biological and psychosocial, should be further investigated. However, the results of neurotoxic studies of amphetamines are also crucial for the study designs appropriate for further treatment studies for amphetamine dependence and abuse."
737,CD006647,"At the moment no evidence from RCTs is available which underscores the use of anthracyclines in ALL. However, ""no evidence of effect"", as identified in this review, is not the same as ""evidence of no effect"". For Wilms' tumour, rhabdomyosarcoma/undifferentiated sarcoma, Ewing's sarcoma, non-Hodgkin lymphoma and hepatoblastoma only one RCT was available and, therefore, no definitive conclusions can be made about the antitumour efficacy of treatment with or without anthracyclines in these tumours. For other childhood cancers no RCTs were identified and therefore, no conclusions can be made about the antitumour efficacy of treatment with or without anthracyclines in these tumours."
738,CD005256,"No statistically significant effects of 'early introduction' of lipids on short term nutritional or other clinical outcomes, either benefits or adverse effects, were demonstrated in the studies reviewed. Based on the currently available evidence, 'early' initiation of lipids (≤ 5 days after birth) can not be recommended for short term growth or to prevent morbidity and mortality in preterm infants."
739,CD008123,"There is good evidence supporting the use of human-derived botulinum immune globulin in infant intestinal botulism. A single randomized controlled trial demonstrated significant decreases in the duration of hospitalization, mechanical ventilation and tube or parenteral feeding among treated patients. Our search did not reveal any evidence examining the use of other medical treatments including serum trivalent botulism antitoxin."
740,CD005225,"In patients already diagnosed with clinically probable or definite ALS, creatine at doses ranging from 5 to 10 g per day did not have a statistically significant effect on survival, ALSFRS-R progression or percent predicted FVC progression."
741,CD007963,"On the basis of moderate quality evidence from one trial in diabetic peripheral neuropathy, oxcarbazepine is effective in reducing pain for this condition. However, this conclusion does not take into account negative results from other trials in diabetic peripheral neuropathy that could not be included in our meta-analysis. We did not find any evidence from randomised controlled trials to determine the efficacy or safety of oxcarbazepine for other kinds of neuropathic pain. Most adverse effects related to oxcarbazepine are rated as mild to moderate in severity, but adverse events leading to discontinuation of drug administration or serious adverse events are not uncommon. More well designed randomised controlled trials investigating oxcarbazepine for various types of neuropathic pain are needed."
742,CD004435,"There is increasing evidence suggesting that OA improves subjective sleepiness and sleep disordered breathing compared with a control. CPAP appears to be more effective in improving sleep disordered breathing than OA. The difference in symptomatic response between these two treatments is not significant, although it is not possible to exclude an effect in favour of either therapy. Until there is more definitive evidence on the effectiveness of OA in relation to CPAP, with regard to symptoms and long-term complications, it would appear to be appropriate to recommend OA therapy to patients with mild symptomatic OSAH, and those patients who are unwilling or unable to tolerate CPAP therapy. Future research should recruit patients with more severe symptoms of sleepiness, to establish whether the response to therapy differs between subgroups in terms of quality of life, symptoms and persistence with usage. Long-term data on cardiovascular health are required."
743,CD004909,"This review does not provide enough evidence to influence practice. In particular, no trials compared fetal movement counting with no fetal movement counting. Robust research is needed in this area.
[Note: the four citations in the awaiting classification section of the review may alter the conclusions of the review once assessed.]"
744,CD001206,"Medication appears effective in treating SP over the short term (particularly amongst the SSRIs), and the long term. Nevertheless, the possibility of publication bias has to be acknowledged. Additional issues for future research include the use of medication in children and adolescents with SP, SP with comorbid psychiatric disorders, and performance anxiety."
745,CD007751,Our review demonstrated that there is currently insufficient evidence to determine the effectiveness of ACEi or ARB in patients with stage 1 to 3 CKD who do not have diabetes mellitus. We have identified an area of significant uncertainty for a group of patients who account for most of those labelled as having CKD.
746,CD003721,"This review found favourable outcomes for patients after risk assessment for familial breast cancer. However, there were too few papers to make any significant conclusions about how best to deliver cancer genetic risk-assessment services. Further research is needed assessing the best means of delivering cancer risk assessment, by different health professionals, in different ways and in alternative locations."
747,CD004014,"Sacral colpopexy has superior outcomes to a variety of vaginal procedures including sacrospinous colpopexy, uterosacral colpopexy and transvaginal mesh. These benefits must be balanced against a longer operating time, longer time to return to activities of daily living, and increased cost of the abdominal approach.
The use of mesh or graft inlays at the time of anterior vaginal wall repair reduces the risk of recurrent anterior wall prolapse on examination. Anterior vaginal polypropylene mesh also reduces awareness of prolapse, however these benefits must be weighted against increased operating time, blood loss, rate of apical or posterior compartment prolapse, de novo stress urinary incontinence, and reoperation rate for mesh exposures associated with the use of polypropylene mesh.
Posterior vaginal wall repair may be better than transanal repair in the management of rectocele in terms of recurrence of prolapse. The evidence is not supportive of any grafts at the time of posterior vaginal repair. Adequately powered randomised, controlled clinical trials with blinding of assessors are urgently needed on a wide variety of issues, and they particularly need to include women's perceptions of prolapse symptoms. Following the withdrawal of some commercial transvaginal mesh kits from the market, the generalisability of the findings, especially relating to anterior compartment transvaginal mesh, should be interpreted with caution."
748,CD004293,"This review failed to show any long-term effect of immunosuppressive treatment on patient and/or renal survival. There was an increased number of discontinuations due to adverse events in immunosuppressive treatment groups. Within the class of alkylating agents there is weak evidence supporting the efficacy of cyclophosphamide as compared to chlorambucil. On the other hand, cyclophosphamide had fewer side effects leading to patient withdrawal than chlorambucil."
749,CD003707,"There is no evidence from randomized controlled trials to support or refute the use of partial liquid ventilation in adults with ALI or ARDS; adequately powered, high quality randomized controlled trials are still needed to assess its efficacy. Clinically relevant outcome measures should be assessed (especially mortality at discharge and later, duration of respiratory support and hospital stay, and long term cognitive and quality of life outcomes) and the studies should be published in full."
750,CD000200,"In patients with CT-proven primary supratentorial intracerebral haemorrhage, surgery added to medical management reduces the odds of being dead or dependent compared with medical management alone, but the result is not very robust. Hence, further randomised trials to identify which patients benefit from surgery and to evaluate less invasive methods are indicated."
751,CD007274,"Results from individual studies suggested that patients have a better recovery profile after propofol sedation for ERCP procedures than after midazolam and meperidine sedation. As there was no difference between the two sedation techniques as regards safety, propofol sedation is probably preferred for patients undergoing ERCP procedures. However, in all of the studies that were identified only non-anaesthesia personnel were involved in administering the sedation. It would be helpful if further research was conducted where anaesthesia personnel were involved in the administration of sedation for ERCP procedures. This would clarify the extent to which anaesthesia personnel should be involved in the administration of propofol sedation."
752,CD006536,"Despite the high degree of heterogeneity observed, the results of this systematic review suggest that moderate improvement in global heart function is significant and sustained long-term. However, because mortality rates after successful revascularization of the culprit arteries are very low, larger number of participants would be required to assess the full clinical effect of this treatment. Standardisation of methodology, cell dosing and cell product formulation, timing of cell transplantation and patient selection may also be required in order to reduce the substantial heterogeneity observed among the included studies."
753,CD008469,"We found inconsistent evidence for home-based asthma educational interventions compared to standard care, education delivered outside of the home or a less intensive educational intervention delivered at home. Although education remains a key component of managing asthma in children, advocated in numerous guidelines, this review does not contribute further information on the fundamental content and optimum setting for such educational interventions."
754,CD004626,"We did not consider any study to be sufficiently informative for contemporary treatment decisions concerning the question single versus tandem ASCT in view of inherent biases. In addition, none of the trials integrated the so-called ""novel agents"" which are now considered standard treatment for MM. To improve the quality of future studies, sample size calculations should consider the potentially steep decrease in compliance with the second ASCT. Reporting of results of treatment- or transplantation-related mortality should clearly specify the type and number of events (the numerator) in a well-defined population (the denominator)."
755,CD003240,"Evidence is limited and dated. Day hospital care may help avoid inpatient care but data are lacking on missing on a raft of outcomes that are now considered important, such as quality of life, satisfaction, healthy days, and cost."
756,CD005216,"Medical abortion in the second trimester using the combination of mifepristone and misoprostol appeared to have the highest efficacy and shortest abortion time interval. Where mifepristone is not available, misoprostol alone is a reasonable alternative. The optimal route for administering misoprostol is vaginally, preferably using tablets at 3-hourly intervals. Apart from pain, the side-effects of vaginal misoprostol are usually mild and self limiting. Conclusions from this review are limited by the gestational age ranges and variable medical regimens, including dosing, administrative routes and intervals of medication, of the included trials."
757,CD006875,Second-line chemotherapy is effective in prolonging time to progression and survival in patients with advanced colorectal cancer. Further RCTs are needed to assess the optimal chemotherapy regimen.
758,CD005091,"There is insufficient evidence from the currently available RCTs to conclude whether 'once a day' or 'multiple doses a day' regimen of gentamicin is superior in treating proven neonatal sepsis. However, data suggests that pharmacokinetic properties of 'once a day' gentamicin regimen are superior to 'multiple doses a day' regimen in that it achieves higher peak levels while avoiding toxic trough levels. There is no change in nephrotoxicity or auditory toxicity. Based on this assessment of pharmacokinetics, 'once a day regimen' may be superior in treating neonatal sepsis in neonates greater than 32 weeks gestation."
759,CD003765,"Both spinal and epidural techniques are shown to provide effective anaesthesia for caesarean section. Both techniques are associated with moderate degrees of maternal satisfaction. Spinal anaesthesia has a shorter onset time, but treatment for hypotension is more likely if spinal anaesthesia is used. No conclusions can be drawn about intraoperative side-effects and postoperative complications because they were of low incidence and/or not reported."
760,CD003939,"There is good evidence that nonoxynol-9 does not protect against sexually transmitted infections, and there is some evidence that it may be harmful by increasing the rate of genital ulceration. As such, this product cannot be recommended for STI prevention."
761,CD007076,"Pregabalin has proven efficacy in neuropathic pain conditions and fibromyalgia. A minority of patients will have substantial benefit with pregabalin, and more will have moderate benefit. Many will have no or trivial benefit, or will discontinue because of adverse events. Individualisation of treatment is needed to maximise pain relief and minimise adverse events. There is no evidence to support the use of pregabalin in acute pain scenarios."
762,CD001450,"Existing evidence does not provide conclusive evidence that the use of routine umbilical artery Doppler ultrasound, or combination of umbilical and uterine artery Doppler ultrasound in low-risk or unselected populations benefits either mother or baby. Future studies should be designed to address small changes in perinatal outcome, and should focus on potentially preventable deaths."
763,CD006837,"A high initial concentration sevoflurane technique probably offers more rapid induction of anaesthesia and a similar rate of complications except for apnoea, which may be more common with a high initial concentration. However, this conclusion is not definitive."
764,CD002062,"Very low quality evidence from one small, randomised trial did not show a statistically significant benefit from oral prednisone compared with no treatment. Nevertheless, corticosteroids are commonly used in practice. According to moderate quality evidence from one RCT, the efficacy of high-dose monthly oral dexamethasone was not statistically different from that of daily standard-dose oral prednisolone. Most adverse events occurred with similar frequencies in both groups, but sleeplessness and moon facies were significantly less common with monthly dexamethasone. Further research is needed to identify factors which predict response."
765,CD008570,"We found moderate-quality evidence to suggest that the use of arm support with alternative mouse may reduce the incidence of neck/shoulder MSDs, but not right upper limb MSDs. Moreover, we found moderate-quality evidence to suggest that the incidence of neck/shoulder and right upper limb MSDs is not reduced when comparing alternative and conventional mouse with and without arm support. However, given there were multiple comparisons made involving a number of interventions and outcomes, high-quality evidence is needed to determine the effectiveness of these interventions clearly. While we found very-low- to low-quality evidence to suggest that other ergonomic interventions do not prevent work-related MSDs of the upper limb and neck, this was limited by the paucity and heterogeneity of available studies. This review highlights the need for high-quality RCTs examining the prevention of MSDs of the upper limb and neck."
766,CD001454,There are no data to support routine administration of furosemide in preterm infants with RDS. Elective administration of furosemide to any patient with RDS should be carefully weighed against the risk of precipitating hypovolemia or developing a symptomatic patent ductus arteriosus. There are not enough data to support routine administration of low-dose theophylline in preterm infants with RDS.
767,CD004312,The available evidence suggests that BtA injections provide more objective and subjective benefit than trihexyphenidyl to patients with cervical dystonia. We could not draw any conclusions about other anticholinergic drugs. Future trials should explore the role of anticholinergic drugs in patients that do not get benefit with BtA.
768,CD003383,"Compared with placebo, kava extract is an effective symptomatic treatment for anxiety although, at present, the size of the effect seems small. The effect lacks robustness and is based on a relatively small sample. The data available from the reviewed studies suggest that kava is relatively safe for short-term treatment (1 to 24 weeks), although more information is required. Rigorous trials with large sample sizes are needed to clarify the existing uncertainties. Also, long-term safety studies of kava are required."
769,CD006565,Not enough evidence to support the use of cannabinoids in treating tics and obsessive compulsive behaviour in people with Tourette's syndrome.
770,CD009807,"Data suggest that the effectiveness of MAOIs for the treatment of FM symptoms is limited. Although we observed a moderate effect size on pain and a small one on tender points, these results should be taken with caution as they are only based on two studies with a small number of patients and inconsistent risk of bias among them."
771,CD004844,"Antipsychotics might be used as an add-on therapy in the treatment of painful conditions. Nevertheless, extrapyramidal and sedating side effects have to be considered before using antipsychotics for treating painful conditions.
Results for antipsychotics in the treatment of different painful conditions are mixed and most sample sizes in the reviewed RCTs are small. Further studies on atypical antipsychotics in larger double-blind placebo-controlled studies including standardised pain assessment/documentation are warranted."
772,CD003637,"Simple behavioural methods may be effective for some children, but further trials are needed, in particular in comparison with treatments known to be effective, such as desmopressin, tricyclic drugs and alarms. However, simple methods could be tried as first line therapy before considering alarms or drugs, because these alternative treatments may be more demanding and may have adverse effects."
773,CD006590,The existing trials provide insufficient evidence to allow confident statements to be made about the relative beneficial and harmful effects of RP and WW for patients with localised prostate cancer. The results of ongoing trials should help to inform treatment decisions for men with screen-detected localised prostate cancer.
774,CD001784,"PGE1 was beneficial for many participants with ED of different aetiology. Adverse effects were proportional to dosage, albeit never serious. The use of PGE1 in ED could have been better interpreted if its effectiveness were compared by aetiology and with different forms of administrations, a longer follow-up were considered and more emphasis given to patient/partner relationships and quality of life."
775,CD006882,"Currently, there is no evidence that three dimensional image is superior to two dimensional image in laparoscopic cholecystectomy."
776,CD005197,Current evidence supports the use of piperacillin-tazobactam in locations where antibiotic resistance profiles do not mandate empirical use of carbapenems. Carbapenems result in a higher rate of antibiotic-associated and Clostridium difficile-associated diarrhea. There is a high level of evidence that all-cause mortality is higher with cefepime compared to other beta-lactams and it should not be used as monotherapy for patients with febrile neutropenia.
777,CD006760,"Specialised antenatal clinics are now an accepted part of care in many settings, and carrying out further randomised trials may not be possible. Any future research in this area should include psychological outcomes and should focus on which aspects of service provision are preferred by women. Such research could underpin further service development in this area."
778,CD005215,"Combination of educational and contraceptive interventions appears to reduce unintended pregnancy among adolescents.  Evidence for program effects on biological measures is limited. The variability in study populations, interventions and outcomes of included trials, and the paucity of studies directly comparing different interventions preclude a definitive conclusion regarding which type of intervention is most effective"
779,CD000336,"Only one included study compared pharmacist services with other health professional services, hence we are unable to draw conclusions regarding comparisons 1 and 3. Most included studies supported the role of pharmacists in medication/therapeutic management, patient counseling, and providing health professional education with the goal of improving patient process of care and clinical outcomes, and of educational outreach visits on physician prescribing patterns. There was great heterogeneity in the types of outcomes measured across all studies. Therefore a standardized approach to measure and report clinical, humanistic, and process outcomes for future randomized controlled studies evaluating the impact of outpatient pharmacists is needed. Heterogeneity in study comparison groups, outcomes, and measures makes it challenging to make generalised statements regarding the impact of pharmacists in specific settings, disease states, and patient populations."
780,CD006408,"The current literature does not support or refute the efficacy or effectiveness of continuous or intermittent traction for pain reduction, improved function or global perceived effect when compared to placebo traction, tablet or heat or other conservative treatments in patients with chronic neck disorders. Large, well conducted RCTs are needed to first determine the efficacy of traction, then the effectiveness, for individuals with neck disorders with radicular symptoms."
781,CD003480,"Implications for practiceProlonged indomethacin course does not appear to have a significant effect on improving important outcomes, such as PDA treatment failure, CLD, IVH, or mortality. The reduction of transient renal impairment does not outweigh the increased risk of NEC associated with the prolonged course. Based on these results, a prolonged course of indomethacin cannot be recommended for the routine treatment of PDA in preterm infants. 
Implications for researchThere is a paucity of data on optimal dosing and duration of indomethacin therapy for the treatment of PDA, in particular for extremely low birth weight infants (ELBW) premature infants. It is likely that a single standard indomethacin regime is not the ideal for every premature infant. Therefore, individual patient response should be considered and evaluated, in particular in ELBW infants. Future randomized clinical trials should include this high risk population and investigate the effect of tailoring dose and duration of therapy to individual response in terms of echocardiographic findings and/or prostaglandin levels, focusing on clinically significant outcomes, including long-term neurodevelopmental outcomes. In addition, factors that may influence treatment effect, such as birth weight, gestational age, age at the time of randomization, total fluid intake, feeding practice, and severity of PDA, need to be taken into account when designing such studies."
782,CD005381,"There is evidence that aerobic physical activities which improve cardiorespiratory fitness are beneficial for cognitive function in healthy older adults, with effects observed for motor function, cognitive speed, auditory and visual attention. However, the majority of comparisons yielded no significant results.
The data are insufficient to show that the improvements in cognitive function which can be attributed to physical exercise are due to improvements in cardiovascular fitness, although the temporal association suggests that this might be the case. Larger studies are still required to confirm whether the aerobic training component is necessary, or whether the same can be achieved with any type of physical exercise. At the same time, it would be informative to understand why some cognitive functions seem to improve with (aerobic) physical exercise while other functions seem to be insensitive to physical exercise.
Clinicians and scientists in the field of neuropsychology should seek mutual agreement on a smaller battery of cognitive tests to use, in order to render research on cognition clinically relevant and transparent and heighten the reproducibility of results for future research."
783,CD000075,"Intravenous doxapram and intravenous methylxanthine appear to be similar in their short term effects for treating apnea in preterm infants, although these trials are too small to exclude an important difference between the two treatments or to exclude the possibility of less common adverse effects. Long term outcome of infants treated in these trials has not been reported. Further studies would require a large number of infants to clarify whether there might be differences in responses or adverse effects with these two drugs at different ages."
784,CD006817,The available data are not sufficient to determine whether allopurinol has clinically important benefits for newborn infants with hypoxic-ischaemic encephalopathy. Much larger trials are needed. Such trials could assess allopurinol as an adjunct to therapeutic hypothermia in infants with moderate and severe encephalopathy and should be designed to exclude important effects on mortality and adverse long-term neurodevelopmental outcomes.
785,CD001911,We have not found evidence that a significant difference exists between carbamazepine and phenytoin for the outcomes examined in this review. Confidence intervals are wide and the possibility of important differences existing has not been excluded.
786,CD001385,"LABA are effective in the control of chronic asthma in the ""real-life"" subject groups included. However there are potential safety issues which call into question the safety of LABA, particularly in those asthmatics who are not taking ICS, and it is not clear why African-Americans were found to have significant differences in comparison to Caucasians for combined respiratory-related death and life threatening experiences, but not for asthma-related death."
787,CD003338,"The current literature is of poor methodological quality and is insufficiently homogeneous to allow the pooling of results. Therefore, clearly effective treatments are not supported at this time for the treatment of acute, subacute or chronic symptoms of whiplash-associated disorders."
788,CD001153,There is currently not enough evidence to support the routine use of mannitol in acute stroke patients. Further trials are needed to confirm or refute whether mannitol is beneficial in acute stroke.
789,CD006281,No drug treatment for SMA type I has been proven to have significant efficacy.
